date,Year,Country,social media,mental health,Instagram,Twitter,Facebook,Snapchat,TikTok,LinkedIn,YouTube,WhatsApp
2020,2020,AE,148.0,56.0,2495.0,2352.0,4442.0,106.0,274.0,422.0,4642.0,2810.0
2020,2020,IN,57.0,5.0,3856.0,845.0,4228.0,54.0,190.0,162.0,4500.0,2761.0
2020,2020,SA,92.0,2.0,1574.0,2404.0,3904.0,216.0,157.0,208.0,4302.0,2160.0
2021,2021,AE,174.0,67.0,3129.0,2289.0,4154.0,113.0,448.0,470.0,4448.0,3563.0
2021,2021,IN,57.0,2.0,4255.0,735.0,3003.0,74.0,67.0,184.0,4143.0,4143.0
2021,2021,SA,109.0,27.0,2012.0,2728.0,3946.0,288.0,489.0,248.0,4508.0,2892.0
2022,2022,AE,251.0,92.0,4359.0,2528.0,4691.0,133.0,571.0,613.0,4303.0,4088.0
2022,2022,IN,53.0,2.0,3860.0,544.0,1976.0,95.0,53.0,260.0,3159.0,4581.0
2022,2022,SA,194.0,54.0,2909.0,3629.0,4471.0,319.0,712.0,415.0,4636.0,4007.0
2023,2023,AE,228.0,80.0,4576.0,1999.0,4444.0,178.0,676.0,580.0,4077.0,4492.0
2023,2023,IN,53.0,2.0,4697.0,484.0,1758.0,111.0,53.0,273.0,3090.0,4473.0
2023,2023,SA,190.0,55.0,3120.0,3337.0,4738.0,259.0,893.0,455.0,4336.0,4553.0
2024,2024,AE,147.0,48.0,2696.0,1043.0,2578.0,124.0,481.0,425.0,3063.0,3396.0
2024,2024,IN,39.0,0.0,2949.0,326.0,1115.0,83.0,39.0,208.0,2443.0,3401.0
2024,2024,SA,112.0,37.0,1798.0,1519.0,2736.0,131.0,495.0,273.0,2570.0,2536.0
