date,Year,Country,social media,mental health,Instagram,Twitter,Facebook,Snapchat,TikTok,LinkedIn,YouTube,WhatsApp
2020,2020,AE,147.0,53.0,2474.0,2338.0,4399.0,106.0,272.0,427.0,4622.0,2832.0
2020,2020,IN,56.0,6.0,3838.0,846.0,4220.0,54.0,185.0,155.0,4439.0,2733.0
2020,2020,SA,90.0,3.0,1549.0,2367.0,3857.0,221.0,163.0,215.0,4483.0,2251.0
2021,2021,AE,171.0,65.0,3092.0,2279.0,4118.0,111.0,431.0,454.0,4300.0,3444.0
2021,2021,IN,57.0,3.0,4483.0,770.0,3171.0,63.0,61.0,174.0,3940.0,3907.0
2021,2021,SA,108.0,19.0,1870.0,2552.0,3669.0,297.0,509.0,261.0,4691.0,3003.0
2022,2022,AE,252.0,93.0,4397.0,2530.0,4749.0,132.0,575.0,611.0,4321.0,4076.0
2022,2022,IN,53.0,2.0,3882.0,548.0,1990.0,95.0,53.0,260.0,3146.0,4559.0
2022,2022,SA,204.0,55.0,3061.0,3814.0,4658.0,305.0,691.0,400.0,4491.0,3851.0
2023,2023,AE,227.0,81.0,4557.0,2005.0,4447.0,167.0,668.0,580.0,3997.0,4400.0
2023,2023,IN,53.0,2.0,4719.0,489.0,1778.0,0.0,0.0,0.0,0.0,0.0
2023,2023,SA,187.0,53.0,3063.0,3302.0,4687.0,256.0,896.0,447.0,4299.0,4514.0
2024,2024,AE,147.0,48.0,2718.0,1047.0,2576.0,128.0,474.0,419.0,3011.0,3391.0
2024,2024,IN,38.0,0.0,2828.0,312.0,1089.0,81.0,38.0,206.0,2352.0,3300.0
2024,2024,SA,109.0,37.0,1755.0,1475.0,2618.0,163.0,612.0,338.0,3185.0,3102.0
