the age:,Gender:,Area:,Current educational level:,marital status:,Employment status:,Do you use social media applications?,What social media platforms do you use?,What app do you use the most?,How many hours do you spend on social media platforms daily?,Do you feel anxious or stressed after reading negative comments on your posts?,Are you worried about missing out on important information or events when you're not using social media?,Do you feel that using social media has affected your ability to focus and accomplish daily tasks?,Do you think that consuming quick content (such as watching short videos and push notifications...) has affected your patience and ability to deal with long tasks?,Do you use social media right before going to sleep?,Do you have difficulty sleeping because of thinking about what you saw on social media platforms?,Does the number of likes or comments you get on your posts affect you?,Have you changed your opinion or feeling based on the reactions of others on social media platforms?,Do you prefer interacting with friends or family online rather than face-to-face?,How often do you find yourself using social media for longer than you planned?,How do you feel when you compare your life to the lives of others on social media?,"What methods, if any, do you use to limit your social media access?"
0.0,Female,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,0.9999999999999999,0.8,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,Others hate hatred,nothing
0.07058823529411767,male,Riyadh,Bachelor's degree,bachelor,Not employed,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",X (Twitter),0.25,0.4,0.0,1.0,0.6666666666666666,1.0,0.0,0.25,0.0,0.0,1.0,"I don't feel anything, thank God",Use the restrictions in Apple settings (from Settings > Screen Time > App Limits)
0.07058823529411767,Female,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,0.7499999999999999,0.6000000000000001,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,1.0,0.0,I don't feel anything,"Setting limits on applications, placing the device in the back of the room, and not placing the device in the charger until it turns off"
0.07058823529411767,Female,Riyadh,High school or equivalent,bachelor,student,Yes,"X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,0.4166666666666667,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.25,0.3333333333333333,1.0,0.3333333333333333,G,B
0.2823529411764706,Female,Riyadh,Bachelor's degree,married,"Housewife, unemployed",Yes,"Instagram, X (Twitter), Snapchat, WhatsApp, Locket",Snapchat,0.4166666666666667,0.4,1.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.25,0.0,0.0,0.6666666666666666,Against comparisons,Leave the device in the room
0.07058823529411767,Female,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",TikTok,0.4166666666666667,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.25,0.6666666666666666,1.0,1.0,.,.
0.07058823529411767,Female,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, WhatsApp",Instagram,0.5833333333333333,0.6000000000000001,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,Feeling natural,Leave your cell phone and self-flagellate
0.07058823529411767,Female,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,0.25,0.4,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,"Praise be to God, I am internally convinced and completely satisfied with where I am now and I am not affected by what I see","Delete the app forever Kik Tok 
 When studying, I use the phone holder or put my phone in another room"
0.1647058823529412,male,Riyadh,Master's,bachelor,Full time employee,Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp",Snapchat,0.25,0.8,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.75,0.6666666666666666,1.0,1.0,There is no specific feeling,Playing PlayStation ??
0.07058823529411767,Female,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), Youtube, WhatsApp, Telegram",WhatsApp,0.25,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,"Frustration, deficiency and depression","Use an application to lock the phone, Screen Zen, Opal"
0.07058823529411767,Female,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp",WhatsApp,0.08333333333333333,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.25,0.0,0.0,0.3333333333333333,Inspiration for change,I don't use my cell phone much
0.07058823529411767,Female,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp, Telegram, Locket",Instagram,0.25,0.2,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,Inspiration and motivation,"I turn off my phone and occupy myself with studying, reading, or anything else"
0.07058823529411767,Female,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,0.25,0.4,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.25,0.0,0.0,1.0,Inspiration,Time management
0.07058823529411767,Female,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), Snapchat, WhatsApp, Telegram, Locket",WhatsApp,0.5833333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.75,1.0,0.0,1.0,"Sometimes motivation, sometimes frustration",Put the cell phone away from me
0.07058823529411767,Female,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), Youtube, WhatsApp, Telegram, Locket",WhatsApp,0.4166666666666667,0.4,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.25,0.0,0.0,0.0,"Feeling motivated, sometimes frustrated because of the great progress I am not keeping up with",I delete some applications or put them on the device in a place where I cannot see them until I finish my tasks. I use social media as a reward after I finish work. I leave the device in a far away place.
0.07058823529411767,Female,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,0.4166666666666667,0.2,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.0,"I feel frustrated when I see people in the same situation as me being successful. It's not envy, but I feel like I'm incomplete and haven't accomplished anything in my life",Sitting with my family and studying helps me leave my phone
0.07058823529411767,Female,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",X (Twitter),0.25,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,According to,"Honestly, there is nothing wrong with it, but if I have a job and I have to deliver it, I usually stay away from them"
