the age:,Gender:,Area:,Current educational level:,marital status:,Employment status:,Do you use social media applications?,What social media platforms do you use?,What app do you use the most?,How many hours do you spend on social media platforms daily?,Do you feel anxious or stressed after reading negative comments on your posts?,Are you worried about missing out on important information or events when you're not using social media?,Do you feel that using social media has affected your ability to focus and accomplish daily tasks?,Do you think that consuming quick content (such as watching short videos and push notifications...) has affected your patience and ability to deal with long tasks?,Do you use social media right before going to sleep?,Do you have difficulty sleeping because of thinking about what you saw on social media platforms?,Does the number of likes or comments you get on your posts affect you?,Have you changed your opinion or feeling based on the reactions of others on social media platforms?,Do you prefer interacting with friends or family online rather than face-to-face?,How often do you find yourself using social media for longer than you planned?,How do you feel when you compare your life to the lives of others on social media?,"What methods, if any, do you use to limit your social media access?"
13-17,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,12 hours or more,rarely,"No, never","Yes, a lot","Yes, a lot","Yes, always","No, never",I don't care about the number of likes or comments,rarely,"Yes, always",sometimes,Others hate hatred,nothing
18-24,male,Riyadh,Bachelor's degree,bachelor,Not employed,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",X (Twitter),4-Mar,"No, never","No, never",sometimes,rarely,sometimes,"No, never","No, never","No, never","No, never",sometimes,"I don't feel anything, thank God",Use the restrictions in Apple settings (from Settings > Screen Time > App Limits)
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,10-Sep,"Yes, always","Yes, always","Yes, a lot","Yes, a lot","Yes, always","Yes, always","Yes, always","Yes, always",sometimes,always,I don't feel anything,"Setting limits on applications, placing the device in the back of the room, and not placing the device in the charger until it turns off"
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,6-May,sometimes,"Yes, always",sometimes,"No, never",sometimes,"No, never","No, never","Yes, always",sometimes,never,G,B
35-44,feminine,Riyadh,Bachelor's degree,married,"Housewife, unemployed",Yes,"Instagram, X (Twitter), Snapchat, WhatsApp, Locket",Snapchat,6-May,"No, never",sometimes,"Yes, a lot",sometimes,"Yes, always",rarely,"No, never","No, never","No, never",rarely,Against comparisons,Leave the device in the room
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",TikTok,6-May,sometimes,"Yes, always","Yes, a lot","Yes, a lot","Yes, always",rarely,"No, never",rarely,sometimes,sometimes,.,.
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, WhatsApp",Instagram,8-Jul,"Yes, always","Yes, always","Yes, a lot","Yes, a lot","Yes, always",rarely,sometimes,rarely,sometimes,sometimes,Feeling natural,Leave your cell phone and self-flagellate
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,4-Mar,"No, never","No, never",sometimes,sometimes,"Yes, always","No, never",I don't care about the number of likes or comments,"No, never","Yes, always",always,"Praise be to God, I am internally convinced and completely satisfied with where I am now and I am not affected by what I see","Delete the app forever Kik Tok 
 When studying, I use the phone holder or put my phone in another room"
25-34,male,Riyadh,Master's,bachelor,Full time employee,Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp",Snapchat,4-Mar,rarely,"No, never",rarely,rarely,"Yes, always","No, never",rarely,rarely,sometimes,sometimes,There is no specific feeling,Playing PlayStation ??
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,sometimes,sometimes,"Yes, a lot",sometimes,sometimes,sometimes,sometimes,"No, never",rarely,sometimes,"Frustration, deficiency and depression","Use an application to lock the phone, Screen Zen, Opal"
